uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
AP,2021,4,944.4,26.034928118982467,1753.6799999999998,26.106005764099496,-809.2799999999999,-0.07107764511702896
AP,2021,5,1046.8,26.992475184196497,1906.2400000000002,26.55273094564719,-859.4400000000003,0.4397442385493058
AP,2021,6,138.4,27.951030491247884,971.8400000000001,26.656106635883987,-833.4400000000002,1.2949238553638978
AP,2021,7,4.0,29.222764976958526,619.0400000000001,27.11054092026141,-615.0400000000001,2.1122240566971158
AP,2021,8,1.5999999999999999,30.178260869565218,263.28000000000003,28.064231143836686,-261.68,2.114029725728532
AP,2021,9,0.0,31.35,115.35999999999999,28.827362922705316,-115.35999999999999,2.522637077294686
AP,2021,10,0.0,,107.68000000000002,28.557069401058268,-107.68000000000002,
AP,2021,11,0.0,,445.28000000000003,27.756737589634007,-445.28000000000003,
AP,2021,12,0.0,,731.6,26.74075728301573,-731.6,
AP,2022,1,0.0,29.9,1079.6,26.75998637899296,-1079.6,3.1400136210070393
AP,2022,2,0.0,,1062.0,25.763088981997708,-1062.0,
AP,2022,3,0.0,,1278.72,25.889499650507275,-1278.72,
AP,2022,4,2497.6,25.56389790764791,1753.6799999999998,26.106005764099496,743.9200000000001,-0.5421078564515867
AP,2022,5,2424.4,25.500492831541216,1906.2400000000002,26.55273094564719,518.1599999999999,-1.0522381141059753
AP,2022,6,914.0,25.947836021505378,971.8400000000001,26.656106635883987,-57.840000000000146,-0.708270614378609
AP,2022,7,931.2,26.093866877045347,619.0400000000001,27.11054092026141,312.15999999999997,-1.0166740432160637
AP,2022,8,296.0,27.086699392239364,263.28000000000003,28.064231143836686,32.71999999999997,-0.9775317515973221
AP,2022,9,161.6,27.940259661835746,115.35999999999999,28.827362922705316,46.24000000000001,-0.8871032608695693
AP,2022,10,73.60000000000001,28.39663340983467,107.68000000000002,28.557069401058268,-34.08000000000001,-0.16043599122359709
