uf,ano,cultura,chuva_mm_safra,temp_c_safra,anomalia_chuva_safra,anomalia_temp_safra,qtd_t,area_plantada_ha,area_colhida_ha,rendimento_kg_ha,ipca_var_mensal,ipca_acum_ano
MT,2021,Soja (em grão),26398.4,26.23711639382757,-3024.388571428571,0.17586025317721013,35336979.0,10461712.0,10450212.0,3381.0,0.84,7.94
MT,2022,Soja (em grão),7731.2,26.12557034069999,-5691.131428571428,0.06431420004963075,38025387.0,10925226.0,10924622.0,3481.0,0.66,11.64
MT,2023,Soja (em grão),80451.2,25.030176177362147,4697.4400000000005,-1.0310799632882117,44425783.0,11981285.0,11981285.0,3708.0,1.11,1.03
MT,2024,Soja (em grão),60928.8,26.726321416391933,1908.5257142857142,0.665065275741574,38396410.0,12383077.0,12351963.0,3109.0,1.18,7.69
PA,2020,Soja (em grão),67408.4,25.888923577151473,5496.639999999999,-0.10417058697617332,1990794.0,643267.0,643267.0,3095.0,2.53,15.77
PA,2021,Soja (em grão),54168.8,26.450149597714532,-613.131428571429,-0.1900941076907071,2232499.0,753781.0,753781.0,2962.0,0.19,3.87
PA,2022,Soja (em grão),40403.200000000004,26.34107609580332,-2579.645714285715,-0.29916760960191774,2574954.0,839560.0,839560.0,3067.0,0.61,11.05
PA,2023,Soja (em grão),48300.799999999996,26.414405495767713,-1451.4171428571433,-0.22583820963752593,3156487.0,1007539.0,1007539.0,3133.0,0.63,-0.14
PA,2024,Soja (em grão),68056.0,27.2658410819465,1370.754285714285,0.6255973765412628,3751973.0,1194024.0,1192224.0,3147.0,1.77,7.93
PR,2020,Soja (em grão),16974.8,22.481203034795392,-555.5799999999997,-0.17833929768932055,20875792.0,5534843.0,5534843.0,3772.0,1.63,13.04
PR,2021,Soja (em grão),25313.200000000004,22.120341812796315,-1847.6799999999998,-0.33614965306810063,19205802.0,5521183.0,5518476.0,3480.0,0.28,8.95
PR,2022,Soja (em grão),23584.0,22.6391987806369,-2094.708571428571,0.182707314772485,13454457.0,5683194.0,5652609.0,2380.0,0.47,11.44
PR,2023,Soja (em grão),47860.799999999996,21.734444609837727,1373.4057142857143,-0.7220468560266947,21553541.0,5762069.0,5760969.0,3741.0,0.92,0.97
PR,2024,Soja (em grão),51592.8,23.303413399348553,1906.5485714285714,0.8469219334841388,18689393.0,5773424.0,5769082.0,3240.0,0.56,7.21
RS,2020,Soja (em grão),24832.8,22.02003266641454,-3385.88,-0.1192369007186791,11283360.0,5995871.0,5982669.0,1886.0,2.6,14.38
RS,2021,Soja (em grão),55405.200000000004,21.270464761703288,-1897.8628571428574,-0.18141033676073753,20420501.0,6107620.0,6107558.0,3343.0,0.42,6.63
RS,2022,Soja (em grão),57646.0,21.464234168988657,-1577.7485714285717,0.012359070524629954,9370339.0,6387670.0,6215638.0,1508.0,-0.46,12.61
RS,2023,Soja (em grão),50203.2,21.525822682525867,-2641.0057142857145,0.07394758406184161,12693487.0,6642140.0,6638890.0,1912.0,0.58,-0.05
RS,2024,Soja (em grão),122674.4,21.53668346923191,7712.022857142857,0.08480837076788868,18247609.0,6708397.0,6502563.0,2806.0,0.62,3.83
SP,2020,Soja (em grão),46038.8,21.91934327675275,2120.7799999999993,-1.6351918338755276,3887567.0,1132965.0,1132955.0,3431.0,1.27,12.98
SP,2021,Soja (em grão),37519.200000000004,23.690210632993445,-3769.1771428571433,0.20172407189278832,4184832.0,1199351.0,1199351.0,3489.0,0.84,8.05
SP,2022,Soja (em grão),40618.8,24.089374380753735,-3326.377142857143,0.60088781965308,4478064.0,1252070.0,1252070.0,3577.0,0.77,11.72
SP,2023,Soja (em grão),93068.0,22.592410348822938,4166.365714285715,-0.8960762122777187,4962226.0,1360285.0,1360285.0,3648.0,0.98,2.41
SP,2024,Soja (em grão),70524.40000000001,24.43297578154859,945.8514285714289,0.944489220447935,3626440.0,1388333.0,1355595.0,2675.0,1.37,8.83
TO,2020,Soja (em grão),39035.200000000004,25.722196696757546,3673.5200000000004,-0.44847547651289155,3004239.0,962399.0,962399.0,3122.0,1.74,14.09
TO,2021,Soja (em grão),25500.4,26.845476382340184,-1724.8571428571427,0.2245740064485311,3477152.0,1113801.0,1112598.0,3125.0,0.84,7.94
TO,2022,Soja (em grão),29084.4,26.801470634391496,-1212.8571428571427,0.1805682584998419,3785386.0,1167122.0,1166489.0,3245.0,0.66,11.64
